Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,3
01:00 - 02:00,0,172
02:00 - 03:00,0,389
03:00 - 04:00,0,378
04:00 - 05:00,0,389
05:00 - 06:00,0,398
06:00 - 07:00,0,397
07:00 - 08:00,0,246
08:00 - 09:00,92,0
09:00 - 10:00,224,0
10:00 - 11:00,373,0
11:00 - 12:00,495,0
12:00 - 13:00,320,0
13:00 - 14:00,302,0
14:00 - 15:00,321,0
15:00 - 16:00,201,0
16:00 - 17:00,137,0
17:00 - 18:00,69,0
18:00 - 19:00,216,0
19:00 - 20:00,239,0
20:00 - 21:00,234,0
21:00 - 22:00,212,0
22:00 - 23:00,193,0
23:00 - 00:00,40,0
