Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,270,0
01:00 - 02:00,203,0
02:00 - 03:00,241,0
03:00 - 04:00,268,0
04:00 - 05:00,296,0
05:00 - 06:00,327,0
06:00 - 07:00,325,0
07:00 - 08:00,374,0
08:00 - 09:00,265,0
09:00 - 10:00,125,0
10:00 - 11:00,0,10
11:00 - 12:00,18,0
12:00 - 13:00,0,16
13:00 - 14:00,46,0
14:00 - 15:00,43,0
15:00 - 16:00,59,0
16:00 - 17:00,93,0
17:00 - 18:00,344,0
18:00 - 19:00,565,0
19:00 - 20:00,610,0
20:00 - 21:00,611,0
21:00 - 22:00,578,0
22:00 - 23:00,508,0
23:00 - 00:00,323,0
