Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,161,0
00:15 - 00:30,110,0
00:30 - 00:45,131,0
00:45 - 01:00,130,0
01:00 - 01:15,51,0
01:15 - 01:30,67,0
01:30 - 01:45,60,0
01:45 - 02:00,8,0
02:00 - 02:15,63,0
02:15 - 02:30,8,0
02:30 - 02:45,28,0
02:45 - 03:00,16,0
03:00 - 03:15,45,0
03:15 - 03:30,22,0
03:30 - 03:45,30,0
03:45 - 04:00,55,0
04:00 - 04:15,56,0
04:15 - 04:30,48,0
04:30 - 04:45,42,0
04:45 - 05:00,44,0
05:00 - 05:15,78,0
05:15 - 05:30,81,0
05:30 - 05:45,127,0
05:45 - 06:00,65,0
06:00 - 06:15,83,0
06:15 - 06:30,124,0
06:30 - 06:45,109,0
06:45 - 07:00,94,0
07:00 - 07:15,82,0
07:15 - 07:30,85,0
07:30 - 07:45,66,0
07:45 - 08:00,64,0
08:00 - 08:15,46,0
08:15 - 08:30,3,0
08:30 - 08:45,18,0
08:45 - 09:00,0,0
09:00 - 09:15,0,20
09:15 - 09:30,0,91
09:30 - 09:45,0,48
09:45 - 10:00,0,136
10:00 - 10:15,0,99
10:15 - 10:30,0,79
10:30 - 10:45,0,95
10:45 - 11:00,0,101
11:00 - 11:15,0,22
11:15 - 11:30,0,0
11:30 - 11:45,0,18
11:45 - 12:00,0,29
12:00 - 12:15,35,0
12:15 - 12:30,72,0
12:30 - 12:45,50,0
12:45 - 13:00,111,0
13:00 - 13:15,148,0
13:15 - 13:30,119,0
13:30 - 13:45,146,0
13:45 - 14:00,145,0
14:00 - 14:15,202,0
14:15 - 14:30,191,0
14:30 - 14:45,177,0
14:45 - 15:00,157,0
15:00 - 15:15,188,0
15:15 - 15:30,311,0
15:30 - 15:45,269,0
15:45 - 16:00,213,0
16:00 - 16:15,284,0
16:15 - 16:30,312,0
16:30 - 16:45,337,0
16:45 - 17:00,417,0
17:00 - 17:15,387,0
17:15 - 17:30,396,0
17:30 - 17:45,402,0
17:45 - 18:00,305,0
18:00 - 18:15,242,0
18:15 - 18:30,208,0
18:30 - 18:45,241,0
18:45 - 19:00,187,0
19:00 - 19:15,160,0
19:15 - 19:30,177,0
19:30 - 19:45,217,0
19:45 - 20:00,208,0
20:00 - 20:15,173,0
20:15 - 20:30,143,0
20:30 - 20:45,168,0
20:45 - 21:00,169,0
21:00 - 21:15,199,0
21:15 - 21:30,197,0
21:30 - 21:45,207,0
21:45 - 22:00,197,0
22:00 - 22:15,228,0
22:15 - 22:30,179,0
22:30 - 22:45,150,0
22:45 - 23:00,159,0
23:00 - 23:15,205,0
23:15 - 23:30,150,0
23:30 - 23:45,94,0
23:45 - 00:00,116,0
