Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,266,0
01:00 - 02:00,172,0
02:00 - 03:00,159,0
03:00 - 04:00,182,0
04:00 - 05:00,189,0
05:00 - 06:00,187,0
06:00 - 07:00,181,0
07:00 - 08:00,234,0
08:00 - 09:00,273,0
09:00 - 10:00,224,0
10:00 - 11:00,145,0
11:00 - 12:00,267,0
12:00 - 13:00,348,0
13:00 - 14:00,389,0
14:00 - 15:00,394,0
15:00 - 16:00,485,0
16:00 - 17:00,548,0
17:00 - 18:00,605,0
18:00 - 19:00,430,0
19:00 - 20:00,484,0
20:00 - 21:00,448,0
21:00 - 22:00,387,0
22:00 - 23:00,390,0
23:00 - 00:00,260,0
