Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,0,89
00:15 - 00:30,0,133
00:30 - 00:45,0,32
00:45 - 01:00,0,13
01:00 - 01:15,22,0
01:15 - 01:30,10,0
01:30 - 01:45,0,15
01:45 - 02:00,0,0
02:00 - 02:15,93,0
02:15 - 02:30,3,0
02:30 - 02:45,26,0
02:45 - 03:00,4,0
03:00 - 03:15,0,20
03:15 - 03:30,0,25
03:30 - 03:45,0,28
03:45 - 04:00,0,30
04:00 - 04:15,0,18
04:15 - 04:30,0,43
04:30 - 04:45,0,14
04:45 - 05:00,0,46
05:00 - 05:15,0,22
05:15 - 05:30,0,74
05:30 - 05:45,0,31
05:45 - 06:00,0,37
06:00 - 06:15,0,5
06:15 - 06:30,0,44
06:30 - 06:45,34,0
06:45 - 07:00,0,0
07:00 - 07:15,0,25
07:15 - 07:30,0,89
07:30 - 07:45,0,49
07:45 - 08:00,0,41
08:00 - 08:15,0,5
08:15 - 08:30,0,6
08:30 - 08:45,9,0
08:45 - 09:00,0,80
09:00 - 09:15,0,86
09:15 - 09:30,0,46
09:30 - 09:45,0,108
09:45 - 10:00,0,79
10:00 - 10:15,0,54
10:15 - 10:30,0,148
10:30 - 10:45,0,78
10:45 - 11:00,0,134
11:00 - 11:15,0,49
11:15 - 11:30,0,57
11:30 - 11:45,0,129
11:45 - 12:00,0,131
12:00 - 12:15,0,23
12:15 - 12:30,0,20
12:30 - 12:45,0,8
12:45 - 13:00,0,11
13:00 - 13:15,0,38
13:15 - 13:30,0,37
13:30 - 13:45,0,94
13:45 - 14:00,0,83
14:00 - 14:15,0,12
14:15 - 14:30,0,37
14:30 - 14:45,0,52
14:45 - 15:00,0,41
15:00 - 15:15,0,35
15:15 - 15:30,13,0
15:30 - 15:45,0,31
15:45 - 16:00,0,17
16:00 - 16:15,0,30
16:15 - 16:30,13,0
16:30 - 16:45,0,19
16:45 - 17:00,26,0
17:00 - 17:15,6,0
17:15 - 17:30,34,0
17:30 - 17:45,36,0
17:45 - 18:00,0,20
18:00 - 18:15,0,18
18:15 - 18:30,0,0
18:30 - 18:45,0,0
18:45 - 19:00,0,74
19:00 - 19:15,0,79
19:15 - 19:30,0,53
19:30 - 19:45,0,33
19:45 - 20:00,0,62
20:00 - 20:15,0,45
20:15 - 20:30,0,66
20:30 - 20:45,0,54
20:45 - 21:00,0,45
21:00 - 21:15,0,53
21:15 - 21:30,0,83
21:30 - 21:45,0,65
21:45 - 22:00,0,38
22:00 - 22:15,13,0
22:15 - 22:30,0,28
22:30 - 22:45,0,43
22:45 - 23:00,0,61
23:00 - 23:15,64,0
23:15 - 23:30,0,12
23:30 - 23:45,0,27
23:45 - 00:00,0,153
