Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,54
01:00 - 02:00,17,0
02:00 - 03:00,48,0
03:00 - 04:00,32,0
04:00 - 05:00,9,0
05:00 - 06:00,13,0
06:00 - 07:00,84,0
07:00 - 08:00,98,0
08:00 - 09:00,125,0
09:00 - 10:00,123,0
10:00 - 11:00,191,0
11:00 - 12:00,186,0
12:00 - 13:00,225,0
13:00 - 14:00,223,0
14:00 - 15:00,264,0
15:00 - 16:00,263,0
16:00 - 17:00,272,0
17:00 - 18:00,301,0
18:00 - 19:00,217,0
19:00 - 20:00,85,0
20:00 - 21:00,30,0
21:00 - 22:00,18,0
22:00 - 23:00,48,0
23:00 - 00:00,20,0
