Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,485,0
01:00 - 02:00,455,0
02:00 - 03:00,493,0
03:00 - 04:00,469,0
04:00 - 05:00,434,0
05:00 - 06:00,431,0
06:00 - 07:00,476,0
07:00 - 08:00,406,0
08:00 - 09:00,385,0
09:00 - 10:00,278,0
10:00 - 11:00,261,0
11:00 - 12:00,278,0
12:00 - 13:00,306,0
13:00 - 14:00,292,0
14:00 - 15:00,289,0
15:00 - 16:00,337,0
16:00 - 17:00,381,0
17:00 - 18:00,412,0
18:00 - 19:00,425,0
19:00 - 20:00,413,0
20:00 - 21:00,402,0
21:00 - 22:00,418,0
22:00 - 23:00,487,0
23:00 - 00:00,474,0
