Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,432
01:00 - 02:00,0,423
02:00 - 03:00,0,432
03:00 - 04:00,0,419
04:00 - 05:00,0,378
05:00 - 06:00,0,366
06:00 - 07:00,0,433
07:00 - 08:00,0,332
08:00 - 09:00,0,311
09:00 - 10:00,0,367
10:00 - 11:00,0,449
11:00 - 12:00,0,515
12:00 - 13:00,0,528
13:00 - 14:00,0,537
14:00 - 15:00,0,503
15:00 - 16:00,0,481
16:00 - 17:00,0,462
17:00 - 18:00,0,389
18:00 - 19:00,0,323
19:00 - 20:00,0,303
20:00 - 21:00,0,231
21:00 - 22:00,0,264
22:00 - 23:00,0,310
23:00 - 00:00,0,310
