Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,302,0
00:15 - 00:30,356,0
00:30 - 00:45,323,0
00:45 - 01:00,406,0
01:00 - 01:15,349,0
01:15 - 01:30,323,0
01:30 - 01:45,315,0
01:45 - 02:00,251,0
02:00 - 02:15,308,0
02:15 - 02:30,300,0
02:30 - 02:45,284,0
02:45 - 03:00,277,0
03:00 - 03:15,273,0
03:15 - 03:30,244,0
03:30 - 03:45,280,0
03:45 - 04:00,291,0
04:00 - 04:15,287,0
04:15 - 04:30,289,0
04:30 - 04:45,299,0
04:45 - 05:00,272,0
05:00 - 05:15,319,0
05:15 - 05:30,321,0
05:30 - 05:45,342,0
05:45 - 06:00,374,0
06:00 - 06:15,388,0
06:15 - 06:30,338,0
06:30 - 06:45,404,0
06:45 - 07:00,397,0
07:00 - 07:15,247,0
07:15 - 07:30,262,0
07:30 - 07:45,257,0
07:45 - 08:00,224,0
08:00 - 08:15,321,0
08:15 - 08:30,240,0
08:30 - 08:45,250,0
08:45 - 09:00,205,0
09:00 - 09:15,313,0
09:15 - 09:30,269,0
09:30 - 09:45,225,0
09:45 - 10:00,219,0
10:00 - 10:15,260,0
10:15 - 10:30,255,0
10:30 - 10:45,296,0
10:45 - 11:00,307,0
11:00 - 11:15,345,0
11:15 - 11:30,282,0
11:30 - 11:45,297,0
11:45 - 12:00,282,0
12:00 - 12:15,251,0
12:15 - 12:30,284,0
12:30 - 12:45,282,0
12:45 - 13:00,318,0
13:00 - 13:15,311,0
13:15 - 13:30,307,0
13:30 - 13:45,356,0
13:45 - 14:00,336,0
14:00 - 14:15,353,0
14:15 - 14:30,373,0
14:30 - 14:45,374,0
14:45 - 15:00,399,0
15:00 - 15:15,362,0
15:15 - 15:30,431,0
15:30 - 15:45,394,0
15:45 - 16:00,396,0
16:00 - 16:15,438,0
16:15 - 16:30,427,0
16:30 - 16:45,458,0
16:45 - 17:00,409,0
17:00 - 17:15,450,0
17:15 - 17:30,399,0
17:30 - 17:45,401,0
17:45 - 18:00,442,0
18:00 - 18:15,433,0
18:15 - 18:30,405,0
18:30 - 18:45,446,0
18:45 - 19:00,355,0
19:00 - 19:15,311,0
19:15 - 19:30,295,0
19:30 - 19:45,338,0
19:45 - 20:00,313,0
20:00 - 20:15,87,0
20:15 - 20:30,120,0
20:30 - 20:45,152,0
20:45 - 21:00,201,0
21:00 - 21:15,184,0
21:15 - 21:30,174,0
21:30 - 21:45,166,0
21:45 - 22:00,194,0
22:00 - 22:15,183,0
22:15 - 22:30,209,0
22:30 - 22:45,176,0
22:45 - 23:00,247,0
23:00 - 23:15,192,0
23:15 - 23:30,187,0
23:30 - 23:45,197,0
23:45 - 00:00,181,0
