Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,94,0
01:00 - 02:00,56,0
02:00 - 03:00,21,0
03:00 - 04:00,5,0
04:00 - 05:00,35,0
05:00 - 06:00,92,0
06:00 - 07:00,98,0
07:00 - 08:00,32,0
08:00 - 09:00,9,0
09:00 - 10:00,91,0
10:00 - 11:00,174,0
11:00 - 12:00,297,0
12:00 - 13:00,374,0
13:00 - 14:00,470,0
14:00 - 15:00,471,0
15:00 - 16:00,537,0
16:00 - 17:00,593,0
17:00 - 18:00,495,0
18:00 - 19:00,508,0
19:00 - 20:00,300,0
20:00 - 21:00,15,0
21:00 - 22:00,28,0
22:00 - 23:00,128,0
23:00 - 00:00,135,0
