Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,69
01:00 - 02:00,0,209
02:00 - 03:00,0,233
03:00 - 04:00,0,265
04:00 - 05:00,0,269
05:00 - 06:00,0,260
06:00 - 07:00,0,257
07:00 - 08:00,0,71
08:00 - 09:00,39,0
09:00 - 10:00,89,0
10:00 - 11:00,0,6
11:00 - 12:00,0,141
12:00 - 13:00,0,183
13:00 - 14:00,0,244
14:00 - 15:00,0,341
15:00 - 16:00,0,353
16:00 - 17:00,0,381
17:00 - 18:00,0,477
18:00 - 19:00,0,401
19:00 - 20:00,0,312
20:00 - 21:00,0,355
21:00 - 22:00,0,350
22:00 - 23:00,0,324
23:00 - 00:00,0,180
