Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,254,0
01:00 - 02:00,286,0
02:00 - 03:00,241,0
03:00 - 04:00,241,0
04:00 - 05:00,232,0
05:00 - 06:00,216,0
06:00 - 07:00,352,0
07:00 - 08:00,327,0
08:00 - 09:00,314,0
09:00 - 10:00,282,0
10:00 - 11:00,241,0
11:00 - 12:00,217,0
12:00 - 13:00,362,0
13:00 - 14:00,434,0
14:00 - 15:00,389,0
15:00 - 16:00,429,0
16:00 - 17:00,470,0
17:00 - 18:00,491,0
18:00 - 19:00,445,0
19:00 - 20:00,301,0
20:00 - 21:00,104,0
21:00 - 22:00,26,0
22:00 - 23:00,50,0
23:00 - 00:00,99,0
