Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,7,0
01:00 - 02:00,67,0
02:00 - 03:00,150,0
03:00 - 04:00,199,0
04:00 - 05:00,251,0
05:00 - 06:00,290,0
06:00 - 07:00,430,0
07:00 - 08:00,348,0
08:00 - 09:00,261,0
09:00 - 10:00,114,0
10:00 - 11:00,0,13
11:00 - 12:00,0,108
12:00 - 13:00,0,162
13:00 - 14:00,0,70
14:00 - 15:00,0,21
15:00 - 16:00,48,0
16:00 - 17:00,141,0
17:00 - 18:00,200,0
18:00 - 19:00,358,0
19:00 - 20:00,403,0
20:00 - 21:00,511,0
21:00 - 22:00,416,0
22:00 - 23:00,246,0
23:00 - 00:00,69,0
