Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,133
01:00 - 02:00,0,126
02:00 - 03:00,0,109
03:00 - 04:00,0,82
04:00 - 05:00,0,53
05:00 - 06:00,2,0
06:00 - 07:00,143,0
07:00 - 08:00,186,0
08:00 - 09:00,211,0
09:00 - 10:00,277,0
10:00 - 11:00,269,0
11:00 - 12:00,192,0
12:00 - 13:00,256,0
13:00 - 14:00,345,0
14:00 - 15:00,381,0
15:00 - 16:00,404,0
16:00 - 17:00,360,0
17:00 - 18:00,389,0
18:00 - 19:00,522,0
19:00 - 20:00,432,0
20:00 - 21:00,396,0
21:00 - 22:00,252,0
22:00 - 23:00,67,0
23:00 - 00:00,0,161
