Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,343,0
01:00 - 02:00,336,0
02:00 - 03:00,392,0
03:00 - 04:00,384,0
04:00 - 05:00,411,0
05:00 - 06:00,476,0
06:00 - 07:00,529,0
07:00 - 08:00,565,0
08:00 - 09:00,485,0
09:00 - 10:00,500,0
10:00 - 11:00,450,0
11:00 - 12:00,413,0
12:00 - 13:00,303,0
13:00 - 14:00,313,0
14:00 - 15:00,276,0
15:00 - 16:00,385,0
16:00 - 17:00,495,0
17:00 - 18:00,472,0
18:00 - 19:00,396,0
19:00 - 20:00,470,0
20:00 - 21:00,502,0
21:00 - 22:00,513,0
22:00 - 23:00,502,0
23:00 - 00:00,363,0
