Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,227
01:00 - 02:00,0,241
02:00 - 03:00,0,260
03:00 - 04:00,0,289
04:00 - 05:00,0,235
05:00 - 06:00,0,192
06:00 - 07:00,0,105
07:00 - 08:00,0,58
08:00 - 09:00,65,0
09:00 - 10:00,79,0
10:00 - 11:00,41,0
11:00 - 12:00,0,109
12:00 - 13:00,0,182
13:00 - 14:00,0,239
14:00 - 15:00,0,182
15:00 - 16:00,0,221
16:00 - 17:00,0,278
17:00 - 18:00,0,340
18:00 - 19:00,0,300
19:00 - 20:00,0,147
20:00 - 21:00,113,0
21:00 - 22:00,0,20
22:00 - 23:00,20,0
23:00 - 00:00,0,54
