Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,189,0
01:00 - 02:00,128,0
02:00 - 03:00,145,0
03:00 - 04:00,167,0
04:00 - 05:00,172,0
05:00 - 06:00,147,0
06:00 - 07:00,166,0
07:00 - 08:00,169,0
08:00 - 09:00,103,0
09:00 - 10:00,75,0
10:00 - 11:00,181,0
11:00 - 12:00,271,0
12:00 - 13:00,268,0
13:00 - 14:00,356,0
14:00 - 15:00,456,0
15:00 - 16:00,468,0
16:00 - 17:00,617,0
17:00 - 18:00,657,0
18:00 - 19:00,773,0
19:00 - 20:00,839,0
20:00 - 21:00,837,0
21:00 - 22:00,792,0
22:00 - 23:00,586,0
23:00 - 00:00,221,0
