Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,360,0
01:00 - 02:00,293,0
02:00 - 03:00,297,0
03:00 - 04:00,311,0
04:00 - 05:00,277,0
05:00 - 06:00,243,0
06:00 - 07:00,182,0
07:00 - 08:00,119,0
08:00 - 09:00,0,65
09:00 - 10:00,0,181
10:00 - 11:00,0,197
11:00 - 12:00,0,183
12:00 - 13:00,0,156
13:00 - 14:00,0,58
14:00 - 15:00,0,23
15:00 - 16:00,50,0
16:00 - 17:00,232,0
17:00 - 18:00,388,0
18:00 - 19:00,431,0
19:00 - 20:00,486,0
20:00 - 21:00,467,0
21:00 - 22:00,546,0
22:00 - 23:00,437,0
23:00 - 00:00,233,0
