Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,65,0
01:00 - 02:00,117,0
02:00 - 03:00,122,0
03:00 - 04:00,127,0
04:00 - 05:00,203,0
05:00 - 06:00,169,0
06:00 - 07:00,148,0
07:00 - 08:00,94,0
08:00 - 09:00,103,0
09:00 - 10:00,195,0
10:00 - 11:00,230,0
11:00 - 12:00,276,0
12:00 - 13:00,334,0
13:00 - 14:00,394,0
14:00 - 15:00,513,0
15:00 - 16:00,518,0
16:00 - 17:00,354,0
17:00 - 18:00,348,0
18:00 - 19:00,377,0
19:00 - 20:00,230,0
20:00 - 21:00,159,0
21:00 - 22:00,133,0
22:00 - 23:00,0,1
23:00 - 00:00,0,74
