Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,260
01:00 - 02:00,0,255
02:00 - 03:00,0,261
03:00 - 04:00,0,260
04:00 - 05:00,0,289
05:00 - 06:00,0,218
06:00 - 07:00,0,148
07:00 - 08:00,0,66
08:00 - 09:00,0,76
09:00 - 10:00,0,130
10:00 - 11:00,0,249
11:00 - 12:00,0,319
12:00 - 13:00,0,345
13:00 - 14:00,0,453
14:00 - 15:00,0,540
15:00 - 16:00,0,515
16:00 - 17:00,0,358
17:00 - 18:00,0,301
18:00 - 19:00,0,195
19:00 - 20:00,0,227
20:00 - 21:00,0,270
21:00 - 22:00,0,314
22:00 - 23:00,0,288
23:00 - 00:00,0,206
