Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,170
01:00 - 02:00,0,63
02:00 - 03:00,0,11
03:00 - 04:00,71,0
04:00 - 05:00,115,0
05:00 - 06:00,102,0
06:00 - 07:00,247,0
07:00 - 08:00,310,0
08:00 - 09:00,266,0
09:00 - 10:00,158,0
10:00 - 11:00,29,0
11:00 - 12:00,116,0
12:00 - 13:00,92,0
13:00 - 14:00,198,0
14:00 - 15:00,312,0
15:00 - 16:00,390,0
16:00 - 17:00,374,0
17:00 - 18:00,591,0
18:00 - 19:00,444,0
19:00 - 20:00,155,0
20:00 - 21:00,98,0
21:00 - 22:00,61,0
22:00 - 23:00,68,0
23:00 - 00:00,17,0
