Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,416,0
01:00 - 02:00,420,0
02:00 - 03:00,426,0
03:00 - 04:00,452,0
04:00 - 05:00,432,0
05:00 - 06:00,462,0
06:00 - 07:00,425,0
07:00 - 08:00,376,0
08:00 - 09:00,385,0
09:00 - 10:00,381,0
10:00 - 11:00,461,0
11:00 - 12:00,505,0
12:00 - 13:00,584,0
13:00 - 14:00,595,0
14:00 - 15:00,590,0
15:00 - 16:00,624,0
16:00 - 17:00,707,0
17:00 - 18:00,746,0
18:00 - 19:00,725,0
19:00 - 20:00,506,0
20:00 - 21:00,335,0
21:00 - 22:00,284,0
22:00 - 23:00,294,0
23:00 - 00:00,310,0
