Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,201
01:00 - 02:00,0,295
02:00 - 03:00,0,347
03:00 - 04:00,0,360
04:00 - 05:00,0,356
05:00 - 06:00,0,305
06:00 - 07:00,0,240
07:00 - 08:00,15,0
08:00 - 09:00,127,0
09:00 - 10:00,44,0
10:00 - 11:00,0,237
11:00 - 12:00,0,316
12:00 - 13:00,0,285
13:00 - 14:00,0,329
14:00 - 15:00,0,426
15:00 - 16:00,0,497
16:00 - 17:00,0,523
17:00 - 18:00,0,475
18:00 - 19:00,0,456
19:00 - 20:00,0,293
20:00 - 21:00,0,286
21:00 - 22:00,0,178
22:00 - 23:00,0,242
23:00 - 00:00,0,146
