Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,359,0
00:15 - 00:30,352,0
00:30 - 00:45,348,0
00:45 - 01:00,372,0
01:00 - 01:15,335,0
01:15 - 01:30,343,0
01:30 - 01:45,308,0
01:45 - 02:00,320,0
02:00 - 02:15,380,0
02:15 - 02:30,360,0
02:30 - 02:45,295,0
02:45 - 03:00,337,0
03:00 - 03:15,302,0
03:15 - 03:30,280,0
03:30 - 03:45,299,0
03:45 - 04:00,287,0
04:00 - 04:15,289,0
04:15 - 04:30,292,0
04:30 - 04:45,309,0
04:45 - 05:00,323,0
05:00 - 05:15,375,0
05:15 - 05:30,316,0
05:30 - 05:45,322,0
05:45 - 06:00,312,0
06:00 - 06:15,391,0
06:15 - 06:30,385,0
06:30 - 06:45,404,0
06:45 - 07:00,416,0
07:00 - 07:15,431,0
07:15 - 07:30,377,0
07:30 - 07:45,389,0
07:45 - 08:00,310,0
08:00 - 08:15,339,0
08:15 - 08:30,246,0
08:30 - 08:45,287,0
08:45 - 09:00,318,0
09:00 - 09:15,294,0
09:15 - 09:30,346,0
09:30 - 09:45,280,0
09:45 - 10:00,272,0
10:00 - 10:15,268,0
10:15 - 10:30,274,0
10:30 - 10:45,321,0
10:45 - 11:00,247,0
11:00 - 11:15,406,0
11:15 - 11:30,378,0
11:30 - 11:45,347,0
11:45 - 12:00,303,0
12:00 - 12:15,426,0
12:15 - 12:30,401,0
12:30 - 12:45,476,0
12:45 - 13:00,436,0
13:00 - 13:15,442,0
13:15 - 13:30,427,0
13:30 - 13:45,460,0
13:45 - 14:00,505,0
14:00 - 14:15,527,0
14:15 - 14:30,547,0
14:30 - 14:45,576,0
14:45 - 15:00,539,0
15:00 - 15:15,550,0
15:15 - 15:30,581,0
15:30 - 15:45,560,0
15:45 - 16:00,550,0
16:00 - 16:15,496,0
16:15 - 16:30,584,0
16:30 - 16:45,580,0
16:45 - 17:00,543,0
17:00 - 17:15,510,0
17:15 - 17:30,530,0
17:30 - 17:45,541,0
17:45 - 18:00,504,0
18:00 - 18:15,440,0
18:15 - 18:30,435,0
18:30 - 18:45,430,0
18:45 - 19:00,486,0
19:00 - 19:15,369,0
19:15 - 19:30,374,0
19:30 - 19:45,451,0
19:45 - 20:00,403,0
20:00 - 20:15,267,0
20:15 - 20:30,288,0
20:30 - 20:45,295,0
20:45 - 21:00,326,0
21:00 - 21:15,287,0
21:15 - 21:30,281,0
21:30 - 21:45,264,0
21:45 - 22:00,249,0
22:00 - 22:15,312,0
22:15 - 22:30,291,0
22:30 - 22:45,305,0
22:45 - 23:00,315,0
23:00 - 23:15,374,0
23:15 - 23:30,344,0
23:30 - 23:45,358,0
23:45 - 00:00,295,0
