Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,134,0
01:00 - 02:00,190,0
02:00 - 03:00,201,0
03:00 - 04:00,158,0
04:00 - 05:00,206,0
05:00 - 06:00,272,0
06:00 - 07:00,293,0
07:00 - 08:00,338,0
08:00 - 09:00,375,0
09:00 - 10:00,421,0
10:00 - 11:00,448,0
11:00 - 12:00,481,0
12:00 - 13:00,560,0
13:00 - 14:00,576,0
14:00 - 15:00,601,0
15:00 - 16:00,599,0
16:00 - 17:00,614,0
17:00 - 18:00,686,0
18:00 - 19:00,567,0
19:00 - 20:00,423,0
20:00 - 21:00,266,0
21:00 - 22:00,147,0
22:00 - 23:00,137,0
23:00 - 00:00,162,0
