Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,382,0
01:00 - 02:00,392,0
02:00 - 03:00,390,0
03:00 - 04:00,392,0
04:00 - 05:00,387,0
05:00 - 06:00,376,0
06:00 - 07:00,388,0
07:00 - 08:00,189,0
08:00 - 09:00,209,0
09:00 - 10:00,286,0
10:00 - 11:00,351,0
11:00 - 12:00,353,0
12:00 - 13:00,423,0
13:00 - 14:00,464,0
14:00 - 15:00,481,0
15:00 - 16:00,446,0
16:00 - 17:00,439,0
17:00 - 18:00,495,0
18:00 - 19:00,460,0
19:00 - 20:00,413,0
20:00 - 21:00,501,0
21:00 - 22:00,478,0
22:00 - 23:00,540,0
23:00 - 00:00,476,0
