Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,40,0
01:00 - 02:00,29,0
02:00 - 03:00,1,0
03:00 - 04:00,5,0
04:00 - 05:00,6,0
05:00 - 06:00,26,0
06:00 - 07:00,40,0
07:00 - 08:00,83,0
08:00 - 09:00,145,0
09:00 - 10:00,134,0
10:00 - 11:00,146,0
11:00 - 12:00,205,0
12:00 - 13:00,251,0
13:00 - 14:00,284,0
14:00 - 15:00,367,0
15:00 - 16:00,290,0
16:00 - 17:00,214,0
17:00 - 18:00,233,0
18:00 - 19:00,128,0
19:00 - 20:00,49,0
20:00 - 21:00,91,0
21:00 - 22:00,133,0
22:00 - 23:00,80,0
23:00 - 00:00,5,0
