Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,212,0
01:00 - 02:00,267,0
02:00 - 03:00,236,0
03:00 - 04:00,174,0
04:00 - 05:00,184,0
05:00 - 06:00,271,0
06:00 - 07:00,325,0
07:00 - 08:00,107,0
08:00 - 09:00,41,0
09:00 - 10:00,0,142
10:00 - 11:00,0,295
11:00 - 12:00,0,339
12:00 - 13:00,0,349
13:00 - 14:00,0,331
14:00 - 15:00,0,290
15:00 - 16:00,0,215
16:00 - 17:00,0,126
17:00 - 18:00,0,32
18:00 - 19:00,28,0
19:00 - 20:00,168,0
20:00 - 21:00,349,0
21:00 - 22:00,331,0
22:00 - 23:00,172,0
23:00 - 00:00,146,0
