Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,66
01:00 - 02:00,0,4
02:00 - 03:00,30,0
03:00 - 04:00,54,0
04:00 - 05:00,67,0
05:00 - 06:00,101,0
06:00 - 07:00,132,0
07:00 - 08:00,2,0
08:00 - 09:00,0,9
09:00 - 10:00,0,52
10:00 - 11:00,0,31
11:00 - 12:00,30,0
12:00 - 13:00,22,0
13:00 - 14:00,47,0
14:00 - 15:00,59,0
15:00 - 16:00,49,0
16:00 - 17:00,19,0
17:00 - 18:00,139,0
18:00 - 19:00,169,0
19:00 - 20:00,224,0
20:00 - 21:00,217,0
21:00 - 22:00,122,0
22:00 - 23:00,0,30
23:00 - 00:00,0,189
