Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,247,0
00:15 - 00:30,234,0
00:30 - 00:45,272,0
00:45 - 01:00,289,0
01:00 - 01:15,256,0
01:15 - 01:30,196,0
01:30 - 01:45,259,0
01:45 - 02:00,222,0
02:00 - 02:15,300,0
02:15 - 02:30,284,0
02:30 - 02:45,268,0
02:45 - 03:00,264,0
03:00 - 03:15,258,0
03:15 - 03:30,248,0
03:30 - 03:45,207,0
03:45 - 04:00,191,0
04:00 - 04:15,221,0
04:15 - 04:30,205,0
04:30 - 04:45,197,0
04:45 - 05:00,240,0
05:00 - 05:15,206,0
05:15 - 05:30,201,0
05:30 - 05:45,297,0
05:45 - 06:00,207,0
06:00 - 06:15,198,0
06:15 - 06:30,175,0
06:30 - 06:45,244,0
06:45 - 07:00,171,0
07:00 - 07:15,60,0
07:15 - 07:30,79,0
07:30 - 07:45,55,0
07:45 - 08:00,34,0
08:00 - 08:15,122,0
08:15 - 08:30,84,0
08:30 - 08:45,100,0
08:45 - 09:00,83,0
09:00 - 09:15,224,0
09:15 - 09:30,148,0
09:30 - 09:45,118,0
09:45 - 10:00,153,0
10:00 - 10:15,132,0
10:15 - 10:30,191,0
10:30 - 10:45,218,0
10:45 - 11:00,197,0
11:00 - 11:15,259,0
11:15 - 11:30,267,0
11:30 - 11:45,262,0
11:45 - 12:00,198,0
12:00 - 12:15,242,0
12:15 - 12:30,291,0
12:30 - 12:45,228,0
12:45 - 13:00,290,0
13:00 - 13:15,283,0
13:15 - 13:30,296,0
13:30 - 13:45,291,0
13:45 - 14:00,289,0
14:00 - 14:15,281,0
14:15 - 14:30,266,0
14:30 - 14:45,292,0
14:45 - 15:00,293,0
15:00 - 15:15,295,0
15:15 - 15:30,314,0
15:30 - 15:45,302,0
15:45 - 16:00,326,0
16:00 - 16:15,332,0
16:15 - 16:30,313,0
16:30 - 16:45,319,0
16:45 - 17:00,335,0
17:00 - 17:15,319,0
17:15 - 17:30,364,0
17:30 - 17:45,386,0
17:45 - 18:00,319,0
18:00 - 18:15,271,0
18:15 - 18:30,299,0
18:30 - 18:45,301,0
18:45 - 19:00,299,0
19:00 - 19:15,182,0
19:15 - 19:30,170,0
19:30 - 19:45,196,0
19:45 - 20:00,220,0
20:00 - 20:15,74,0
20:15 - 20:30,98,0
20:30 - 20:45,108,0
20:45 - 21:00,103,0
21:00 - 21:15,69,0
21:15 - 21:30,48,0
21:30 - 21:45,59,0
21:45 - 22:00,92,0
22:00 - 22:15,92,0
22:15 - 22:30,69,0
22:30 - 22:45,80,0
22:45 - 23:00,87,0
23:00 - 23:15,69,0
23:15 - 23:30,57,0
23:30 - 23:45,108,0
23:45 - 00:00,120,0
