Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,49,0
01:00 - 02:00,9,0
02:00 - 03:00,0,67
03:00 - 04:00,0,68
04:00 - 05:00,0,107
05:00 - 06:00,0,96
06:00 - 07:00,0,95
07:00 - 08:00,89,0
08:00 - 09:00,31,0
09:00 - 10:00,0,14
10:00 - 11:00,0,155
11:00 - 12:00,0,198
12:00 - 13:00,0,273
13:00 - 14:00,0,388
14:00 - 15:00,0,365
15:00 - 16:00,0,358
16:00 - 17:00,0,371
17:00 - 18:00,0,284
18:00 - 19:00,0,171
19:00 - 20:00,0,166
20:00 - 21:00,0,150
21:00 - 22:00,0,225
22:00 - 23:00,0,162
23:00 - 00:00,0,183
