Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,143
01:00 - 02:00,0,124
02:00 - 03:00,0,110
03:00 - 04:00,0,39
04:00 - 05:00,0,23
05:00 - 06:00,30,0
06:00 - 07:00,72,0
07:00 - 08:00,202,0
08:00 - 09:00,221,0
09:00 - 10:00,221,0
10:00 - 11:00,172,0
11:00 - 12:00,0,18
12:00 - 13:00,0,75
13:00 - 14:00,0,56
14:00 - 15:00,37,0
15:00 - 16:00,78,0
16:00 - 17:00,182,0
17:00 - 18:00,219,0
18:00 - 19:00,268,0
19:00 - 20:00,266,0
20:00 - 21:00,284,0
21:00 - 22:00,252,0
22:00 - 23:00,268,0
23:00 - 00:00,41,0
