Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,353,0
01:00 - 02:00,459,0
02:00 - 03:00,508,0
03:00 - 04:00,477,0
04:00 - 05:00,477,0
05:00 - 06:00,480,0
06:00 - 07:00,490,0
07:00 - 08:00,487,0
08:00 - 09:00,521,0
09:00 - 10:00,458,0
10:00 - 11:00,422,0
11:00 - 12:00,385,0
12:00 - 13:00,364,0
13:00 - 14:00,395,0
14:00 - 15:00,451,0
15:00 - 16:00,389,0
16:00 - 17:00,443,0
17:00 - 18:00,542,0
18:00 - 19:00,559,0
19:00 - 20:00,610,0
20:00 - 21:00,603,0
21:00 - 22:00,575,0
22:00 - 23:00,587,0
23:00 - 00:00,611,0
