Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,228
01:00 - 02:00,0,396
02:00 - 03:00,0,421
03:00 - 04:00,0,367
04:00 - 05:00,0,359
05:00 - 06:00,0,367
06:00 - 07:00,0,371
07:00 - 08:00,0,270
08:00 - 09:00,0,230
09:00 - 10:00,0,211
10:00 - 11:00,0,255
11:00 - 12:00,0,284
12:00 - 13:00,0,299
13:00 - 14:00,0,329
14:00 - 15:00,0,338
15:00 - 16:00,0,256
16:00 - 17:00,0,239
17:00 - 18:00,0,212
18:00 - 19:00,0,298
19:00 - 20:00,0,341
20:00 - 21:00,0,318
21:00 - 22:00,0,336
22:00 - 23:00,0,282
23:00 - 00:00,0,265
