Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,262,0
01:00 - 02:00,383,0
02:00 - 03:00,444,0
03:00 - 04:00,442,0
04:00 - 05:00,400,0
05:00 - 06:00,438,0
06:00 - 07:00,486,0
07:00 - 08:00,571,0
08:00 - 09:00,608,0
09:00 - 10:00,614,0
10:00 - 11:00,595,0
11:00 - 12:00,513,0
12:00 - 13:00,459,0
13:00 - 14:00,534,0
14:00 - 15:00,569,0
15:00 - 16:00,455,0
16:00 - 17:00,445,0
17:00 - 18:00,512,0
18:00 - 19:00,445,0
19:00 - 20:00,370,0
20:00 - 21:00,348,0
21:00 - 22:00,312,0
22:00 - 23:00,276,0
23:00 - 00:00,309,0
