Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,139,0
01:00 - 02:00,104,0
02:00 - 03:00,97,0
03:00 - 04:00,112,0
04:00 - 05:00,162,0
05:00 - 06:00,159,0
06:00 - 07:00,174,0
07:00 - 08:00,312,0
08:00 - 09:00,54,0
09:00 - 10:00,0,61
10:00 - 11:00,0,137
11:00 - 12:00,0,233
12:00 - 13:00,0,197
13:00 - 14:00,0,84
14:00 - 15:00,28,0
15:00 - 16:00,155,0
16:00 - 17:00,238,0
17:00 - 18:00,364,0
18:00 - 19:00,550,0
19:00 - 20:00,537,0
20:00 - 21:00,529,0
21:00 - 22:00,496,0
22:00 - 23:00,445,0
23:00 - 00:00,298,0
