Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,0,18
01:00 - 02:00,0,28
02:00 - 03:00,9,0
03:00 - 04:00,16,0
04:00 - 05:00,86,0
05:00 - 06:00,108,0
06:00 - 07:00,138,0
07:00 - 08:00,35,0
08:00 - 09:00,0,115
09:00 - 10:00,0,276
10:00 - 11:00,0,435
11:00 - 12:00,0,431
12:00 - 13:00,0,420
13:00 - 14:00,0,450
14:00 - 15:00,0,394
15:00 - 16:00,0,314
16:00 - 17:00,0,134
17:00 - 18:00,0,8
18:00 - 19:00,60,0
19:00 - 20:00,85,0
20:00 - 21:00,133,0
21:00 - 22:00,0,0
22:00 - 23:00,0,76
23:00 - 00:00,0,51
