Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,62
01:00 - 02:00,0,21
02:00 - 03:00,0,40
03:00 - 04:00,0,56
04:00 - 05:00,0,110
05:00 - 06:00,0,145
06:00 - 07:00,0,169
07:00 - 08:00,35,0
08:00 - 09:00,160,0
09:00 - 10:00,202,0
10:00 - 11:00,300,0
11:00 - 12:00,279,0
12:00 - 13:00,260,0
13:00 - 14:00,252,0
14:00 - 15:00,227,0
15:00 - 16:00,204,0
16:00 - 17:00,171,0
17:00 - 18:00,176,0
18:00 - 19:00,255,0
19:00 - 20:00,231,0
20:00 - 21:00,196,0
21:00 - 22:00,281,0
22:00 - 23:00,241,0
23:00 - 00:00,68,0
