Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,523,0
01:00 - 02:00,539,0
02:00 - 03:00,555,0
03:00 - 04:00,574,0
04:00 - 05:00,541,0
05:00 - 06:00,506,0
06:00 - 07:00,556,0
07:00 - 08:00,541,0
08:00 - 09:00,541,0
09:00 - 10:00,631,0
10:00 - 11:00,619,0
11:00 - 12:00,642,0
12:00 - 13:00,701,0
13:00 - 14:00,688,0
14:00 - 15:00,757,0
15:00 - 16:00,767,0
16:00 - 17:00,852,0
17:00 - 18:00,921,0
18:00 - 19:00,869,0
19:00 - 20:00,668,0
20:00 - 21:00,536,0
21:00 - 22:00,541,0
22:00 - 23:00,427,0
23:00 - 00:00,268,0
