Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,139
01:00 - 02:00,0,210
02:00 - 03:00,0,242
03:00 - 04:00,0,261
04:00 - 05:00,0,275
05:00 - 06:00,0,249
06:00 - 07:00,0,167
07:00 - 08:00,10,0
08:00 - 09:00,46,0
09:00 - 10:00,37,0
10:00 - 11:00,0,97
11:00 - 12:00,0,180
12:00 - 13:00,0,261
13:00 - 14:00,0,333
14:00 - 15:00,0,365
15:00 - 16:00,0,432
16:00 - 17:00,0,308
17:00 - 18:00,0,299
18:00 - 19:00,0,366
19:00 - 20:00,0,189
20:00 - 21:00,0,201
21:00 - 22:00,0,202
22:00 - 23:00,0,66
23:00 - 00:00,35,0
