Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,562,0
01:00 - 02:00,343,0
02:00 - 03:00,351,0
03:00 - 04:00,356,0
04:00 - 05:00,357,0
05:00 - 06:00,355,0
06:00 - 07:00,401,0
07:00 - 08:00,357,0
08:00 - 09:00,339,0
09:00 - 10:00,282,0
10:00 - 11:00,254,0
11:00 - 12:00,183,0
12:00 - 13:00,211,0
13:00 - 14:00,217,0
14:00 - 15:00,202,0
15:00 - 16:00,299,0
16:00 - 17:00,255,0
17:00 - 18:00,295,0
18:00 - 19:00,393,0
19:00 - 20:00,413,0
20:00 - 21:00,435,0
21:00 - 22:00,387,0
22:00 - 23:00,403,0
23:00 - 00:00,279,0
