Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,413,0
01:00 - 02:00,160,0
02:00 - 03:00,182,0
03:00 - 04:00,198,0
04:00 - 05:00,229,0
05:00 - 06:00,234,0
06:00 - 07:00,271,0
07:00 - 08:00,453,0
08:00 - 09:00,548,0
09:00 - 10:00,643,0
10:00 - 11:00,620,0
11:00 - 12:00,728,0
12:00 - 13:00,790,0
13:00 - 14:00,759,0
14:00 - 15:00,729,0
15:00 - 16:00,910,0
16:00 - 17:00,776,0
17:00 - 18:00,538,0
18:00 - 19:00,569,0
19:00 - 20:00,555,0
20:00 - 21:00,449,0
21:00 - 22:00,330,0
22:00 - 23:00,416,0
23:00 - 00:00,86,0
