Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,560,0
01:00 - 02:00,718,0
02:00 - 03:00,813,0
03:00 - 04:00,863,0
04:00 - 05:00,822,0
05:00 - 06:00,769,0
06:00 - 07:00,714,0
07:00 - 08:00,457,0
08:00 - 09:00,442,0
09:00 - 10:00,553,0
10:00 - 11:00,577,0
11:00 - 12:00,523,0
12:00 - 13:00,442,0
13:00 - 14:00,398,0
14:00 - 15:00,379,0
15:00 - 16:00,391,0
16:00 - 17:00,487,0
17:00 - 18:00,413,0
18:00 - 19:00,490,0
19:00 - 20:00,478,0
20:00 - 21:00,447,0
21:00 - 22:00,352,0
22:00 - 23:00,400,0
23:00 - 00:00,368,0
