Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,556,0
01:00 - 02:00,605,0
02:00 - 03:00,651,0
03:00 - 04:00,655,0
04:00 - 05:00,649,0
05:00 - 06:00,550,0
06:00 - 07:00,603,0
07:00 - 08:00,583,0
08:00 - 09:00,670,0
09:00 - 10:00,683,0
10:00 - 11:00,696,0
11:00 - 12:00,731,0
12:00 - 13:00,747,0
13:00 - 14:00,638,0
14:00 - 15:00,588,0
15:00 - 16:00,569,0
16:00 - 17:00,550,0
17:00 - 18:00,537,0
18:00 - 19:00,564,0
19:00 - 20:00,577,0
20:00 - 21:00,550,0
21:00 - 22:00,387,0
22:00 - 23:00,444,0
23:00 - 00:00,483,0
