Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,276,0
00:15 - 00:30,219,0
00:30 - 00:45,250,0
00:45 - 01:00,250,0
01:00 - 01:15,284,0
01:15 - 01:30,290,0
01:30 - 01:45,326,0
01:45 - 02:00,282,0
02:00 - 02:15,285,0
02:15 - 02:30,251,0
02:30 - 02:45,253,0
02:45 - 03:00,247,0
03:00 - 03:15,264,0
03:15 - 03:30,270,0
03:30 - 03:45,277,0
03:45 - 04:00,280,0
04:00 - 04:15,294,0
04:15 - 04:30,295,0
04:30 - 04:45,284,0
04:45 - 05:00,371,0
05:00 - 05:15,396,0
05:15 - 05:30,345,0
05:30 - 05:45,356,0
05:45 - 06:00,326,0
06:00 - 06:15,362,0
06:15 - 06:30,416,0
06:30 - 06:45,384,0
06:45 - 07:00,322,0
07:00 - 07:15,372,0
07:15 - 07:30,394,0
07:30 - 07:45,377,0
07:45 - 08:00,410,0
08:00 - 08:15,313,0
08:15 - 08:30,376,0
08:30 - 08:45,309,0
08:45 - 09:00,318,0
09:00 - 09:15,234,0
09:15 - 09:30,226,0
09:30 - 09:45,212,0
09:45 - 10:00,160,0
10:00 - 10:15,225,0
10:15 - 10:30,236,0
10:30 - 10:45,198,0
10:45 - 11:00,207,0
11:00 - 11:15,228,0
11:15 - 11:30,215,0
11:30 - 11:45,230,0
11:45 - 12:00,230,0
12:00 - 12:15,193,0
12:15 - 12:30,213,0
12:30 - 12:45,231,0
12:45 - 13:00,313,0
13:00 - 13:15,284,0
13:15 - 13:30,253,0
13:30 - 13:45,314,0
13:45 - 14:00,344,0
14:00 - 14:15,369,0
14:15 - 14:30,344,0
14:30 - 14:45,431,0
14:45 - 15:00,341,0
15:00 - 15:15,444,0
15:15 - 15:30,450,0
15:30 - 15:45,489,0
15:45 - 16:00,530,0
16:00 - 16:15,527,0
16:15 - 16:30,560,0
16:30 - 16:45,482,0
16:45 - 17:00,491,0
17:00 - 17:15,499,0
17:15 - 17:30,542,0
17:30 - 17:45,493,0
17:45 - 18:00,427,0
18:00 - 18:15,479,0
18:15 - 18:30,454,0
18:30 - 18:45,468,0
18:45 - 19:00,471,0
19:00 - 19:15,437,0
19:15 - 19:30,372,0
19:30 - 19:45,406,0
19:45 - 20:00,422,0
20:00 - 20:15,318,0
20:15 - 20:30,315,0
20:30 - 20:45,315,0
20:45 - 21:00,380,0
21:00 - 21:15,403,0
21:15 - 21:30,316,0
21:30 - 21:45,289,0
21:45 - 22:00,348,0
22:00 - 22:15,403,0
22:15 - 22:30,372,0
22:30 - 22:45,409,0
22:45 - 23:00,372,0
23:00 - 23:15,359,0
23:15 - 23:30,369,0
23:30 - 23:45,325,0
23:45 - 00:00,346,0
