Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,578,0
01:00 - 02:00,603,0
02:00 - 03:00,573,0
03:00 - 04:00,574,0
04:00 - 05:00,583,0
05:00 - 06:00,650,0
06:00 - 07:00,646,0
07:00 - 08:00,616,0
08:00 - 09:00,524,0
09:00 - 10:00,360,0
10:00 - 11:00,335,0
11:00 - 12:00,327,0
12:00 - 13:00,283,0
13:00 - 14:00,353,0
14:00 - 15:00,401,0
15:00 - 16:00,497,0
16:00 - 17:00,571,0
17:00 - 18:00,600,0
18:00 - 19:00,652,0
19:00 - 20:00,678,0
20:00 - 21:00,647,0
21:00 - 22:00,669,0
22:00 - 23:00,711,0
23:00 - 00:00,683,0
