Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,0,21
00:15 - 00:30,0,20
00:30 - 00:45,0,18
00:45 - 01:00,0,20
01:00 - 01:15,0,40
01:15 - 01:30,0,39
01:30 - 01:45,0,39
01:45 - 02:00,0,45
02:00 - 02:15,0,67
02:15 - 02:30,0,67
02:30 - 02:45,0,63
02:45 - 03:00,0,65
03:00 - 03:15,0,69
03:15 - 03:30,0,74
03:30 - 03:45,0,76
03:45 - 04:00,0,70
04:00 - 04:15,0,62
04:15 - 04:30,0,68
04:30 - 04:45,0,55
04:45 - 05:00,0,48
05:00 - 05:15,0,51
05:15 - 05:30,0,50
05:30 - 05:45,0,40
05:45 - 06:00,0,46
06:00 - 06:15,0,55
06:15 - 06:30,0,46
06:30 - 06:45,0,54
06:45 - 07:00,0,53
07:00 - 07:15,0,53
07:15 - 07:30,0,48
07:30 - 07:45,0,44
07:45 - 08:00,0,47
08:00 - 08:15,0,53
08:15 - 08:30,0,61
08:30 - 08:45,0,60
08:45 - 09:00,0,57
09:00 - 09:15,0,81
09:15 - 09:30,0,70
09:30 - 09:45,0,67
09:45 - 10:00,0,73
10:00 - 10:15,0,67
10:15 - 10:30,0,58
10:30 - 10:45,0,57
10:45 - 11:00,0,49
11:00 - 11:15,0,61
11:15 - 11:30,0,57
11:30 - 11:45,0,49
11:45 - 12:00,0,36
12:00 - 12:15,0,47
12:15 - 12:30,0,61
12:30 - 12:45,0,56
12:45 - 13:00,0,51
13:00 - 13:15,0,64
13:15 - 13:30,0,75
13:30 - 13:45,0,78
13:45 - 14:00,0,71
14:00 - 14:15,0,54
14:15 - 14:30,0,58
14:30 - 14:45,0,61
14:45 - 15:00,0,67
15:00 - 15:15,0,74
15:15 - 15:30,0,90
15:30 - 15:45,0,97
15:45 - 16:00,0,101
16:00 - 16:15,0,75
16:15 - 16:30,0,85
16:30 - 16:45,0,83
16:45 - 17:00,0,92
17:00 - 17:15,0,84
17:15 - 17:30,0,86
17:30 - 17:45,0,89
17:45 - 18:00,0,84
18:00 - 18:15,0,80
18:15 - 18:30,0,97
18:30 - 18:45,0,100
18:45 - 19:00,0,106
19:00 - 19:15,0,92
19:15 - 19:30,0,85
19:30 - 19:45,0,83
19:45 - 20:00,0,86
20:00 - 20:15,0,73
20:15 - 20:30,0,71
20:30 - 20:45,0,76
20:45 - 21:00,0,74
21:00 - 21:15,0,65
21:15 - 21:30,0,76
21:30 - 21:45,0,76
21:45 - 22:00,0,80
22:00 - 22:15,0,87
22:15 - 22:30,0,81
22:30 - 22:45,0,73
22:45 - 23:00,0,68
23:00 - 23:15,0,59
23:15 - 23:30,0,54
23:30 - 23:45,0,57
23:45 - 00:00,0,55
