Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,136,0
01:00 - 02:00,245,0
02:00 - 03:00,347,0
03:00 - 04:00,345,0
04:00 - 05:00,371,0
05:00 - 06:00,336,0
06:00 - 07:00,415,0
07:00 - 08:00,575,0
08:00 - 09:00,552,0
09:00 - 10:00,234,0
10:00 - 11:00,233,0
11:00 - 12:00,75,0
12:00 - 13:00,160,0
13:00 - 14:00,193,0
14:00 - 15:00,304,0
15:00 - 16:00,492,0
16:00 - 17:00,587,0
17:00 - 18:00,623,0
18:00 - 19:00,583,0
19:00 - 20:00,464,0
20:00 - 21:00,425,0
21:00 - 22:00,238,0
22:00 - 23:00,264,0
23:00 - 00:00,5,0
