Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,317,0
01:00 - 02:00,367,0
02:00 - 03:00,418,0
03:00 - 04:00,401,0
04:00 - 05:00,406,0
05:00 - 06:00,395,0
06:00 - 07:00,432,0
07:00 - 08:00,441,0
08:00 - 09:00,422,0
09:00 - 10:00,259,0
10:00 - 11:00,227,0
11:00 - 12:00,158,0
12:00 - 13:00,159,0
13:00 - 14:00,168,0
14:00 - 15:00,184,0
15:00 - 16:00,237,0
16:00 - 17:00,379,0
17:00 - 18:00,364,0
18:00 - 19:00,355,0
19:00 - 20:00,381,0
20:00 - 21:00,402,0
21:00 - 22:00,359,0
22:00 - 23:00,377,0
23:00 - 00:00,279,0
