Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,94
01:00 - 02:00,0,54
02:00 - 03:00,0,169
03:00 - 04:00,0,197
04:00 - 05:00,0,173
05:00 - 06:00,0,191
06:00 - 07:00,0,207
07:00 - 08:00,0,267
08:00 - 09:00,0,278
09:00 - 10:00,0,239
10:00 - 11:00,0,329
11:00 - 12:00,0,374
12:00 - 13:00,0,435
13:00 - 14:00,0,427
14:00 - 15:00,0,346
15:00 - 16:00,0,343
16:00 - 17:00,0,316
17:00 - 18:00,0,209
18:00 - 19:00,0,100
19:00 - 20:00,0,2
20:00 - 21:00,0,6
21:00 - 22:00,0,4
22:00 - 23:00,37,0
23:00 - 00:00,24,0
