Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,274,0
01:00 - 02:00,281,0
02:00 - 03:00,161,0
03:00 - 04:00,166,0
04:00 - 05:00,201,0
05:00 - 06:00,234,0
06:00 - 07:00,267,0
07:00 - 08:00,113,0
08:00 - 09:00,0,89
09:00 - 10:00,0,442
10:00 - 11:00,0,622
11:00 - 12:00,0,693
12:00 - 13:00,0,649
13:00 - 14:00,0,609
14:00 - 15:00,0,648
15:00 - 16:00,0,642
16:00 - 17:00,0,484
17:00 - 18:00,0,304
18:00 - 19:00,0,74
19:00 - 20:00,80,0
20:00 - 21:00,202,0
21:00 - 22:00,223,0
22:00 - 23:00,65,0
23:00 - 00:00,40,0
