Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,175
01:00 - 02:00,0,171
02:00 - 03:00,0,121
03:00 - 04:00,0,134
04:00 - 05:00,0,161
05:00 - 06:00,0,177
06:00 - 07:00,0,228
07:00 - 08:00,22,0
08:00 - 09:00,181,0
09:00 - 10:00,438,0
10:00 - 11:00,518,0
11:00 - 12:00,511,0
12:00 - 13:00,435,0
13:00 - 14:00,388,0
14:00 - 15:00,428,0
15:00 - 16:00,503,0
16:00 - 17:00,444,0
17:00 - 18:00,320,0
18:00 - 19:00,284,0
19:00 - 20:00,186,0
20:00 - 21:00,64,0
21:00 - 22:00,32,0
22:00 - 23:00,0,12
23:00 - 00:00,0,46
