Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,180
01:00 - 02:00,0,233
02:00 - 03:00,0,275
03:00 - 04:00,0,223
04:00 - 05:00,0,206
05:00 - 06:00,0,229
06:00 - 07:00,0,241
07:00 - 08:00,0,270
08:00 - 09:00,0,127
09:00 - 10:00,0,172
10:00 - 11:00,0,194
11:00 - 12:00,0,264
12:00 - 13:00,0,398
13:00 - 14:00,0,514
14:00 - 15:00,0,401
15:00 - 16:00,0,516
16:00 - 17:00,0,463
17:00 - 18:00,0,371
18:00 - 19:00,0,302
19:00 - 20:00,0,284
20:00 - 21:00,0,173
21:00 - 22:00,0,227
22:00 - 23:00,0,228
23:00 - 00:00,0,138
