Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,257,0
01:00 - 02:00,327,0
02:00 - 03:00,357,0
03:00 - 04:00,321,0
04:00 - 05:00,298,0
05:00 - 06:00,339,0
06:00 - 07:00,417,0
07:00 - 08:00,422,0
08:00 - 09:00,352,0
09:00 - 10:00,285,0
10:00 - 11:00,251,0
11:00 - 12:00,266,0
12:00 - 13:00,341,0
13:00 - 14:00,444,0
14:00 - 15:00,422,0
15:00 - 16:00,329,0
16:00 - 17:00,339,0
17:00 - 18:00,240,0
18:00 - 19:00,314,0
19:00 - 20:00,395,0
20:00 - 21:00,391,0
21:00 - 22:00,409,0
22:00 - 23:00,364,0
23:00 - 00:00,361,0
