Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,281
01:00 - 02:00,0,353
02:00 - 03:00,0,330
03:00 - 04:00,0,310
04:00 - 05:00,0,335
05:00 - 06:00,0,320
06:00 - 07:00,0,233
07:00 - 08:00,0,57
08:00 - 09:00,4,0
09:00 - 10:00,39,0
10:00 - 11:00,18,0
11:00 - 12:00,2,0
12:00 - 13:00,0,7
13:00 - 14:00,0,28
14:00 - 15:00,0,74
15:00 - 16:00,0,121
16:00 - 17:00,0,176
17:00 - 18:00,0,171
18:00 - 19:00,0,97
19:00 - 20:00,0,64
20:00 - 21:00,0,72
21:00 - 22:00,0,62
22:00 - 23:00,0,35
23:00 - 00:00,0,53
