Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,10
01:00 - 02:00,27,0
02:00 - 03:00,16,0
03:00 - 04:00,44,0
04:00 - 05:00,49,0
05:00 - 06:00,70,0
06:00 - 07:00,0,63
07:00 - 08:00,0,211
08:00 - 09:00,0,236
09:00 - 10:00,0,214
10:00 - 11:00,0,205
11:00 - 12:00,0,240
12:00 - 13:00,0,207
13:00 - 14:00,0,147
14:00 - 15:00,0,92
15:00 - 16:00,5,0
16:00 - 17:00,29,0
17:00 - 18:00,12,0
18:00 - 19:00,128,0
19:00 - 20:00,131,0
20:00 - 21:00,215,0
21:00 - 22:00,135,0
22:00 - 23:00,0,24
23:00 - 00:00,0,163
