Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,276.0,0.0
01:00 - 02:00,,
02:00 - 03:00,,
03:00 - 04:00,242.0,0.0
04:00 - 05:00,261.0,0.0
05:00 - 06:00,266.0,0.0
06:00 - 07:00,,
07:00 - 08:00,,
08:00 - 09:00,0.0,115.0
09:00 - 10:00,0.0,219.0
10:00 - 11:00,0.0,223.0
11:00 - 12:00,0.0,264.0
12:00 - 13:00,0.0,276.0
13:00 - 14:00,0.0,312.0
14:00 - 15:00,0.0,230.0
15:00 - 16:00,0.0,109.0
16:00 - 17:00,0.0,11.0
17:00 - 18:00,0.0,6.0
18:00 - 19:00,117.0,0.0
19:00 - 20:00,151.0,0.0
20:00 - 21:00,332.0,0.0
21:00 - 22:00,280.0,0.0
22:00 - 23:00,142.0,0.0
23:00 - 00:00,4.0,0.0
