Time_Time,Poland (PL)  > Ukraine (UA)_[MW],Ukraine (UA)  > Poland (PL)_[MW]
00:00 - 00:15,173,0
00:15 - 00:30,150,0
00:30 - 00:45,87,0
00:45 - 01:00,93,0
01:00 - 01:15,51,0
01:15 - 01:30,65,0
01:30 - 01:45,118,0
01:45 - 02:00,143,0
02:00 - 02:15,187,0
02:15 - 02:30,161,0
02:30 - 02:45,152,0
02:45 - 03:00,192,0
03:00 - 03:15,221,0
03:15 - 03:30,128,0
03:30 - 03:45,184,0
03:45 - 04:00,172,0
04:00 - 04:15,205,0
04:15 - 04:30,175,0
04:30 - 04:45,181,0
04:45 - 05:00,173,0
05:00 - 05:15,168,0
05:15 - 05:30,166,0
05:30 - 05:45,194,0
05:45 - 06:00,162,0
06:00 - 06:15,114,0
06:15 - 06:30,152,0
06:30 - 06:45,169,0
06:45 - 07:00,165,0
07:00 - 07:15,116,0
07:15 - 07:30,161,0
07:30 - 07:45,153,0
07:45 - 08:00,123,0
08:00 - 08:15,125,0
08:15 - 08:30,165,0
08:30 - 08:45,94,0
08:45 - 09:00,156,0
09:00 - 09:15,151,0
09:15 - 09:30,146,0
09:30 - 09:45,110,0
09:45 - 10:00,139,0
10:00 - 10:15,170,0
10:15 - 10:30,86,0
10:30 - 10:45,159,0
10:45 - 11:00,87,0
11:00 - 11:15,193,0
11:15 - 11:30,177,0
11:30 - 11:45,127,0
11:45 - 12:00,134,0
12:00 - 12:15,217,0
12:15 - 12:30,198,0
12:30 - 12:45,229,0
12:45 - 13:00,259,0
13:00 - 13:15,221,0
13:15 - 13:30,216,0
13:30 - 13:45,241,0
13:45 - 14:00,222,0
14:00 - 14:15,211,0
14:15 - 14:30,255,0
14:30 - 14:45,203,0
14:45 - 15:00,216,0
15:00 - 15:15,219,0
15:15 - 15:30,260,0
15:30 - 15:45,217,0
15:45 - 16:00,196,0
16:00 - 16:15,294,0
16:15 - 16:30,248,0
16:30 - 16:45,217,0
16:45 - 17:00,244,0
17:00 - 17:15,228,0
17:15 - 17:30,222,0
17:30 - 17:45,276,0
17:45 - 18:00,244,0
18:00 - 18:15,205,0
18:15 - 18:30,195,0
18:30 - 18:45,189,0
18:45 - 19:00,218,0
19:00 - 19:15,201,0
19:15 - 19:30,202,0
19:30 - 19:45,228,0
19:45 - 20:00,227,0
20:00 - 20:15,133,0
20:15 - 20:30,164,0
20:30 - 20:45,185,0
20:45 - 21:00,140,0
21:00 - 21:15,140,0
21:15 - 21:30,169,0
21:30 - 21:45,183,0
21:45 - 22:00,211,0
22:00 - 22:15,274,0
22:15 - 22:30,243,0
22:30 - 22:45,233,0
22:45 - 23:00,243,0
23:00 - 23:15,337,0
23:15 - 23:30,271,0
23:30 - 23:45,302,0
23:45 - 00:00,283,0
