Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,0,91
01:00 - 02:00,0,172
02:00 - 03:00,0,181
03:00 - 04:00,0,202
04:00 - 05:00,0,217
05:00 - 06:00,0,183
06:00 - 07:00,0,195
07:00 - 08:00,0,146
08:00 - 09:00,0,107
09:00 - 10:00,9,0
10:00 - 11:00,74,0
11:00 - 12:00,57,0
12:00 - 13:00,24,0
13:00 - 14:00,123,0
14:00 - 15:00,190,0
15:00 - 16:00,129,0
16:00 - 17:00,59,0
17:00 - 18:00,0,57
18:00 - 19:00,0,106
19:00 - 20:00,0,215
20:00 - 21:00,0,191
21:00 - 22:00,0,213
22:00 - 23:00,0,57
23:00 - 00:00,0,137
