Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,365,0
01:00 - 02:00,411,0
02:00 - 03:00,479,0
03:00 - 04:00,551,0
04:00 - 05:00,478,0
05:00 - 06:00,454,0
06:00 - 07:00,418,0
07:00 - 08:00,443,0
08:00 - 09:00,368,0
09:00 - 10:00,197,0
10:00 - 11:00,192,0
11:00 - 12:00,125,0
12:00 - 13:00,65,0
13:00 - 14:00,136,0
14:00 - 15:00,203,0
15:00 - 16:00,295,0
16:00 - 17:00,435,0
17:00 - 18:00,658,0
18:00 - 19:00,579,0
19:00 - 20:00,410,0
20:00 - 21:00,366,0
21:00 - 22:00,368,0
22:00 - 23:00,333,0
23:00 - 00:00,377,0
