Time_Time,Hungary (HU)  > Ukraine (UA)_[MW],Ukraine (UA)  > Hungary (HU)_[MW]
00:00 - 01:00,212,0
01:00 - 02:00,236,0
02:00 - 03:00,249,0
03:00 - 04:00,335,0
04:00 - 05:00,277,0
05:00 - 06:00,231,0
06:00 - 07:00,177,0
07:00 - 08:00,191,0
08:00 - 09:00,125,0
09:00 - 10:00,30,0
10:00 - 11:00,0,15
11:00 - 12:00,25,0
12:00 - 13:00,0,0
13:00 - 14:00,90,0
14:00 - 15:00,195,0
15:00 - 16:00,390,0
16:00 - 17:00,429,0
17:00 - 18:00,639,0
18:00 - 19:00,604,0
19:00 - 20:00,294,0
20:00 - 21:00,176,0
21:00 - 22:00,126,0
22:00 - 23:00,167,0
23:00 - 00:00,139,0
