Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,426,0
01:00 - 02:00,430,0
02:00 - 03:00,404,0
03:00 - 04:00,369,0
04:00 - 05:00,387,0
05:00 - 06:00,396,0
06:00 - 07:00,415,0
07:00 - 08:00,454,0
08:00 - 09:00,367,0
09:00 - 10:00,187,0
10:00 - 11:00,0,16
11:00 - 12:00,15,0
12:00 - 13:00,0,97
13:00 - 14:00,0,84
14:00 - 15:00,0,16
15:00 - 16:00,55,0
16:00 - 17:00,203,0
17:00 - 18:00,322,0
18:00 - 19:00,497,0
19:00 - 20:00,461,0
20:00 - 21:00,442,0
21:00 - 22:00,436,0
22:00 - 23:00,415,0
23:00 - 00:00,281,0
