Time_Time,Romania (RO)  > Ukraine (UA)_[MW],Ukraine (UA)  > Romania (RO)_[MW]
00:00 - 01:00,0,316
01:00 - 02:00,0,534
02:00 - 03:00,0,561
03:00 - 04:00,0,526
04:00 - 05:00,0,520
05:00 - 06:00,0,501
06:00 - 07:00,0,540
07:00 - 08:00,0,331
08:00 - 09:00,0,298
09:00 - 10:00,0,93
10:00 - 11:00,0,76
11:00 - 12:00,32,0
12:00 - 13:00,174,0
13:00 - 14:00,152,0
14:00 - 15:00,50,0
15:00 - 16:00,0,34
16:00 - 17:00,0,161
17:00 - 18:00,0,99
18:00 - 19:00,0,258
19:00 - 20:00,0,140
20:00 - 21:00,0,84
21:00 - 22:00,0,205
22:00 - 23:00,0,53
23:00 - 00:00,0,237
