Time_Time,Slovakia (SK)  > Ukraine (UA)_[MW],Ukraine (UA)  > Slovakia (SK)_[MW]
00:00 - 01:00,272,0
01:00 - 02:00,219,0
02:00 - 03:00,249,0
03:00 - 04:00,233,0
04:00 - 05:00,222,0
05:00 - 06:00,219,0
06:00 - 07:00,220,0
07:00 - 08:00,124,0
08:00 - 09:00,0,13
09:00 - 10:00,0,192
10:00 - 11:00,0,334
11:00 - 12:00,0,297
12:00 - 13:00,0,233
13:00 - 14:00,0,141
14:00 - 15:00,0,78
15:00 - 16:00,1,0
16:00 - 17:00,104,0
17:00 - 18:00,292,0
18:00 - 19:00,353,0
19:00 - 20:00,444,0
20:00 - 21:00,570,0
21:00 - 22:00,560,0
22:00 - 23:00,496,0
23:00 - 00:00,299,0
